"","orig.ident","sample_id","MajorCellTypes","case"
"BN0348_Oligodendrocytes_PD","BN0348_Oligodendrocytes_PD","BN0348","Oligodendrocytes","PD"
"BN0348_OPCs_PD","BN0348_OPCs_PD","BN0348","OPCs","PD"
"BN0348_Pericytes_PD","BN0348_Pericytes_PD","BN0348","Pericytes","PD"
"BN0348_T-Cells_PD","BN0348_T-Cells_PD","BN0348","T_Cells","PD"
"BN0415_Astrocytes_ILB","BN0415_Astrocytes_ILB","BN0415","Astrocytes","ILB"
"BN0415_Endothelial-Cells_ILB","BN0415_Endothelial-Cells_ILB","BN0415","Endothelial_Cells","ILB"
"BN0415_Fibroblast-Like-Cells_ILB","BN0415_Fibroblast-Like-Cells_ILB","BN0415","Fibroblast_Like_Cells","ILB"
"BN0415_GABA-Neurons_ILB","BN0415_GABA-Neurons_ILB","BN0415","GABA_Neurons","ILB"
"BN0415_GLU-Neurons_ILB","BN0415_GLU-Neurons_ILB","BN0415","GLU_Neurons","ILB"
"BN0415_Microglia_ILB","BN0415_Microglia_ILB","BN0415","Microglia","ILB"
"BN0415_Oligodendrocytes_ILB","BN0415_Oligodendrocytes_ILB","BN0415","Oligodendrocytes","ILB"
"BN0415_OPCs_ILB","BN0415_OPCs_ILB","BN0415","OPCs","ILB"
"BN0415_Pericytes_ILB","BN0415_Pericytes_ILB","BN0415","Pericytes","ILB"
"BN0415_T-Cells_ILB","BN0415_T-Cells_ILB","BN0415","T_Cells","ILB"
"BN0452_Astrocytes_HC","BN0452_Astrocytes_HC","BN0452","Astrocytes","HC"
"BN0452_Endothelial-Cells_HC","BN0452_Endothelial-Cells_HC","BN0452","Endothelial_Cells","HC"
"BN0452_Fibroblast-Like-Cells_HC","BN0452_Fibroblast-Like-Cells_HC","BN0452","Fibroblast_Like_Cells","HC"
"BN0452_GABA-Neurons_HC","BN0452_GABA-Neurons_HC","BN0452","GABA_Neurons","HC"
"BN0452_GLU-Neurons_HC","BN0452_GLU-Neurons_HC","BN0452","GLU_Neurons","HC"
"BN0452_Microglia_HC","BN0452_Microglia_HC","BN0452","Microglia","HC"
"BN0452_Oligodendrocytes_HC","BN0452_Oligodendrocytes_HC","BN0452","Oligodendrocytes","HC"
"BN0452_OPCs_HC","BN0452_OPCs_HC","BN0452","OPCs","HC"
"BN0452_Pericytes_HC","BN0452_Pericytes_HC","BN0452","Pericytes","HC"
"BN0452_T-Cells_HC","BN0452_T-Cells_HC","BN0452","T_Cells","HC"
"BN0464_Astrocytes_ILB","BN0464_Astrocytes_ILB","BN0464","Astrocytes","ILB"
"BN0464_Endothelial-Cells_ILB","BN0464_Endothelial-Cells_ILB","BN0464","Endothelial_Cells","ILB"
"BN0464_Fibroblast-Like-Cells_ILB","BN0464_Fibroblast-Like-Cells_ILB","BN0464","Fibroblast_Like_Cells","ILB"
"BN0464_GABA-Neurons_ILB","BN0464_GABA-Neurons_ILB","BN0464","GABA_Neurons","ILB"
"BN0464_GLU-Neurons_ILB","BN0464_GLU-Neurons_ILB","BN0464","GLU_Neurons","ILB"
"BN0464_Microglia_ILB","BN0464_Microglia_ILB","BN0464","Microglia","ILB"
"BN0464_Oligodendrocytes_ILB","BN0464_Oligodendrocytes_ILB","BN0464","Oligodendrocytes","ILB"
"BN0464_OPCs_ILB","BN0464_OPCs_ILB","BN0464","OPCs","ILB"
"BN0464_Pericytes_ILB","BN0464_Pericytes_ILB","BN0464","Pericytes","ILB"
"BN0464_T-Cells_ILB","BN0464_T-Cells_ILB","BN0464","T_Cells","ILB"
"BN0536_Astrocytes_HC","BN0536_Astrocytes_HC","BN0536","Astrocytes","HC"
"BN0536_Endothelial-Cells_HC","BN0536_Endothelial-Cells_HC","BN0536","Endothelial_Cells","HC"
"BN0536_Fibroblast-Like-Cells_HC","BN0536_Fibroblast-Like-Cells_HC","BN0536","Fibroblast_Like_Cells","HC"
"BN0536_GABA-Neurons_HC","BN0536_GABA-Neurons_HC","BN0536","GABA_Neurons","HC"
"BN0536_GLU-Neurons_HC","BN0536_GLU-Neurons_HC","BN0536","GLU_Neurons","HC"
"BN0536_Microglia_HC","BN0536_Microglia_HC","BN0536","Microglia","HC"
"BN0536_Oligodendrocytes_HC","BN0536_Oligodendrocytes_HC","BN0536","Oligodendrocytes","HC"
"BN0536_OPCs_HC","BN0536_OPCs_HC","BN0536","OPCs","HC"
"BN0536_Pericytes_HC","BN0536_Pericytes_HC","BN0536","Pericytes","HC"
"BN0536_T-Cells_HC","BN0536_T-Cells_HC","BN0536","T_Cells","HC"
"BN0602_Astrocytes_ILB","BN0602_Astrocytes_ILB","BN0602","Astrocytes","ILB"
"BN0602_Endothelial-Cells_ILB","BN0602_Endothelial-Cells_ILB","BN0602","Endothelial_Cells","ILB"
"BN0602_Fibroblast-Like-Cells_ILB","BN0602_Fibroblast-Like-Cells_ILB","BN0602","Fibroblast_Like_Cells","ILB"
"BN0602_GABA-Neurons_ILB","BN0602_GABA-Neurons_ILB","BN0602","GABA_Neurons","ILB"
"BN0602_GLU-Neurons_ILB","BN0602_GLU-Neurons_ILB","BN0602","GLU_Neurons","ILB"
"BN0602_Microglia_ILB","BN0602_Microglia_ILB","BN0602","Microglia","ILB"
"BN0602_Oligodendrocytes_ILB","BN0602_Oligodendrocytes_ILB","BN0602","Oligodendrocytes","ILB"
"BN0602_OPCs_ILB","BN0602_OPCs_ILB","BN0602","OPCs","ILB"
"BN0602_Pericytes_ILB","BN0602_Pericytes_ILB","BN0602","Pericytes","ILB"
"BN0602_T-Cells_ILB","BN0602_T-Cells_ILB","BN0602","T_Cells","ILB"
"BN0615_Astrocytes_HC","BN0615_Astrocytes_HC","BN0615","Astrocytes","HC"
"BN0615_Endothelial-Cells_HC","BN0615_Endothelial-Cells_HC","BN0615","Endothelial_Cells","HC"
"BN0615_Fibroblast-Like-Cells_HC","BN0615_Fibroblast-Like-Cells_HC","BN0615","Fibroblast_Like_Cells","HC"
"BN0615_GABA-Neurons_HC","BN0615_GABA-Neurons_HC","BN0615","GABA_Neurons","HC"
"BN0615_GLU-Neurons_HC","BN0615_GLU-Neurons_HC","BN0615","GLU_Neurons","HC"
"BN0615_Microglia_HC","BN0615_Microglia_HC","BN0615","Microglia","HC"
"BN0615_Oligodendrocytes_HC","BN0615_Oligodendrocytes_HC","BN0615","Oligodendrocytes","HC"
"BN0615_OPCs_HC","BN0615_OPCs_HC","BN0615","OPCs","HC"
"BN0615_Pericytes_HC","BN0615_Pericytes_HC","BN0615","Pericytes","HC"
"BN0635_Astrocytes_HC","BN0635_Astrocytes_HC","BN0635","Astrocytes","HC"
"BN0635_Endothelial-Cells_HC","BN0635_Endothelial-Cells_HC","BN0635","Endothelial_Cells","HC"
"BN0635_Fibroblast-Like-Cells_HC","BN0635_Fibroblast-Like-Cells_HC","BN0635","Fibroblast_Like_Cells","HC"
"BN0635_GABA-Neurons_HC","BN0635_GABA-Neurons_HC","BN0635","GABA_Neurons","HC"
"BN0635_GLU-Neurons_HC","BN0635_GLU-Neurons_HC","BN0635","GLU_Neurons","HC"
"BN0635_Microglia_HC","BN0635_Microglia_HC","BN0635","Microglia","HC"
"BN0635_Oligodendrocytes_HC","BN0635_Oligodendrocytes_HC","BN0635","Oligodendrocytes","HC"
"BN0635_OPCs_HC","BN0635_OPCs_HC","BN0635","OPCs","HC"
