p_val,avg_log2FC,pct.1,pct.2,p_val_adj
4.24356029030619e-06,-0.531811830668377,1,1,0.148617968487104
4.51984490385043e-06,-0.316256732144427,1,1,0.15829400822265
6.57602024026869e-06,-0.338820816353453,0.971,1,0.23030538085469
7.44156947843968e-06,0.932995625473258,1,1,0.260618646273915
1.01077309681483e-05,0.769686445043236,1,1,0.353992953966491
1.14115299697945e-05,-0.719711454469842,1,1,0.399654602602141
1.28749460481205e-05,0.695086168059933,1,1,0.450906360497275
1.3234312373605e-05,-0.232507327933681,0.4,0.867,0.463492087948395
1.36721866451189e-05,-0.17761369591224,1,1,0.478827320685353
1.449683973705e-05,-0.180428627950268,0.886,0.633,0.507708321270966
1.63562219208415e-05,-0.524382732193803,1,1,0.57282760411171
1.73574994685362e-05,0.582718366383175,1,1,0.607894346387075
1.95379648867602e-05,-0.622655323890962,1,1,0.684258606264116
2.07237026923321e-05,-0.388336148983103,1,1,0.725785515690854
2.4705827722267e-05,0.174574833959984,1,1,0.865247498489236
2.61878273659738e-05,0.368312950189478,1,1,0.917150090011135
2.77541273869493e-05,2.31991085888532,1,1,0.97200504934574
2.77541273869493e-05,-0.721155902574044,1,1,0.97200504934574
3.30050462025439e-05,-0.358810771217708,1,1,1
3.70159916437374e-05,-0.391762739829633,0.971,1,1
3.70159916437374e-05,-0.331380183107117,1,1,1
3.70159916437374e-05,-0.328003754196065,1,1,1
3.91909795724919e-05,-0.428396324810179,1,1,1
3.91909795724919e-05,0.56356797910478,1,1,1
3.91909795724919e-05,-0.396521810298196,1,1,1
3.91909795724919e-05,-0.386762524453696,1,1,1
3.93632591232613e-05,-0.205953821820803,0.543,0.067,1
3.9681248199275e-05,-0.227971603072637,0.143,0.667,1
4.14869024497241e-05,-0.411062015028054,1,1,1
4.39100649455228e-05,0.525089228298763,1,1,1
4.39100649455228e-05,0.591375557815515,1,1,1
4.91648613796071e-05,0.427894365537684,1,1,1
4.91648613796071e-05,-0.230853471904536,1,1,1
4.94255692330396e-05,-0.146751494057606,0.657,0.267,1
5.48060057443477e-05,-0.319886507877712,0.857,1,1
5.50121316235033e-05,0.318837358838215,1,1,1
5.50121316235033e-05,-0.511492558588698,1,1,1
5.50121316235033e-05,-0.7206308480743,1,1,1
5.50121316235033e-05,-0.176371286831423,1,1,1
5.81771827732641e-05,-0.4070475386533,1,1,1
6.15141717156145e-05,0.392301907520448,1,1,1
6.50318296127653e-05,0.425198372291766,0.971,1,1
6.50318296127653e-05,-0.496006276625051,1,1,1
6.50318296127653e-05,0.327956464487093,1,1,1
6.87392960868557e-05,-0.480580803785094,1,1,1
6.87392960868557e-05,-0.474420209048699,1,1,1
6.87392960868557e-05,-0.383227338971701,1,1,1
6.87392960868557e-05,-0.498658908442704,1,1,1
6.92902289814722e-05,-0.240976312950057,0.629,0.933,1
7.19092653082892e-05,-0.268298614563729,0.8,1,1
7.21714408624075e-05,-0.232379615442116,0.514,0.867,1
7.26461364217776e-05,-0.49764275155044,1,1,1
7.26461364217776e-05,-0.410568945035195,1,1,1
7.26461364217776e-05,0.215041325071103,1,1,1
7.26461364217776e-05,-0.318206315870075,1,1,1
7.62780661524876e-05,-0.250656875422287,0.829,1,1
7.67623593904648e-05,0.601732699996352,1,1,1
7.67623593904648e-05,0.19997502135918,1,1,1
7.67623593904648e-05,-0.320283852303233,1,1,1
8.10402060916747e-05,0.131583721166254,0.943,0.967,1
8.10838753264758e-05,-0.322209382157828,0.943,1,1
8.10984357254906e-05,-0.36112282979884,1,1,1
8.10984357254906e-05,0.26287884434512,1,1,1
8.10984357254906e-05,-0.431668398184278,1,1,1
8.56653172510936e-05,-0.416061708075361,1,1,1
8.56653172510936e-05,-0.125157999833986,1,1,1
8.56653172510936e-05,-0.442225230304417,1,1,1
8.56653172510936e-05,0.37024592793287,1,1,1
8.56653172510936e-05,-0.362771316565199,1,1,1
9.04744566950164e-05,-0.344027248981227,1,1,1
9.04744566950164e-05,-0.443733969568627,1,1,1
9.04744566950164e-05,-0.338500564047098,1,1,1
9.04744566950164e-05,-0.256489939134059,1,1,1
9.04744566950164e-05,0.525904363684234,1,1,1
9.55378281987987e-05,-0.465447132402463,1,1,1
9.55378281987987e-05,-0.394216326336369,1,1,1
9.55378281987987e-05,-0.12061747597685,1,1,1
9.55378281987987e-05,-0.674648516666173,1,1,1
9.75668392195775e-05,-0.375988197041198,0.857,0.967,1
0.000100684971318942,-0.230211030495265,0.257,0.7,1
0.000100867948545414,-0.356683741861575,1,1,1
0.000100867948545414,-0.431614938715431,1,1,1
0.000100867948545414,0.149964856970624,1,1,1
0.000100867948545414,-0.287868973284773,1,1,1
0.000106477899123376,-0.322712774267047,1,1,1
0.000106477899123376,-0.29659650593439,1,1,1
0.000106477899123376,0.30055473486004,1,1,1
0.000106477899123376,-0.392373305893024,1,1,1
0.000112381348646672,-0.372198111687307,1,1,1
0.000112381348646672,-0.335803636290006,1,1,1
0.000112381348646672,-0.493584662518281,1,1,1
0.000112381348646672,-0.362524682411736,1,1,1
0.000112381348646672,-0.401489455184238,1,1,1
0.000112381348646672,-0.327844696584035,1,1,1
0.000113786461271439,-0.286072148713959,0.8,0.967,1
0.00011596538945483,-0.255034859234669,0.686,0.967,1
0.000118592576650074,0.955311890137741,1,1,1
0.000118592576650074,-0.209826231969699,1,1,1
0.000121090314799778,-0.167187122730596,0.971,0.833,1
0.000123320495673904,-0.241935121983954,0.543,0.867,1
0.000125126497779622,-0.462476690559964,0.971,1,1
0.000125126497779622,-0.118453036777734,1,1,1
0.000125126497779622,-0.297925837711755,1,1,1
0.000125126497779622,0.195865691229536,1,1,1
0.000125126497779622,0.367833512972444,1,1,1
0.000125488064949135,-0.237523257582906,0.514,0.867,1
0.000127756301876426,-0.325084700316148,0.857,0.967,1
0.0001283465407812,-0.248295210887253,0.714,1,1
0.0001319986868982,0.334396627331169,1,1,1
0.0001319986868982,-0.329204280710133,1,1,1
0.0001319986868982,-0.205897578427032,1,1,1
